decl,decl_fanout,qid_index,qid,qid_label,qid_status,qid_importance,is_primary_decl_of_qid,qid_other_decls,wikipedia_url,wikidata_url,mathlib_doc_url,decision,notes
ChartedSpace,6,2/6,Q188444,Differential geometry,formalized,Top,FALSE,"ContMDiff, IsManifold, ModelWithCorners, TangentBundle",https://en.wikipedia.org/wiki/Differential_geometry,https://www.wikidata.org/wiki/Q188444,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=ChartedSpace,,
ChartedSpace,6,3/6,Q203920,Manifold,formalized,Top,TRUE,"IsManifold, ModelWithCorners",https://en.wikipedia.org/wiki/Manifold,https://www.wikidata.org/wiki/Q203920,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=ChartedSpace,,
ChartedSpace,6,4/6,Q2721559,Topological manifold,formalized,High,TRUE,ChartedSpaceCore,https://en.wikipedia.org/wiki/Topological_manifold,https://www.wikidata.org/wiki/Q2721559,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=ChartedSpace,,
ChartedSpace,6,5/6,Q3552958,Differentiable manifold,formalized,High,FALSE,"IsManifold, ModelWithCorners, contDiffGroupoid",https://en.wikipedia.org/wiki/Differentiable_manifold,https://www.wikidata.org/wiki/Q3552958,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=ChartedSpace,,
ChartedSpace,6,6/6,Q484298,Surface (topology),formalized,High,TRUE,IsManifold,https://en.wikipedia.org/wiki/Surface_topology,https://www.wikidata.org/wiki/Q484298,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=ChartedSpace,,
CommRing,6,1/6,Q11205,Arithmetic,not_formalized,High,FALSE,"Field, Real, Semiring",https://en.wikipedia.org/wiki/Arithmetic,https://www.wikidata.org/wiki/Q11205,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CommRing,,
CommRing,6,2/6,Q1208658,Ring theory,formalized,Top,FALSE,"Ideal, Ring, RingHom, Semiring",https://en.wikipedia.org/wiki/Ring_theory,https://www.wikidata.org/wiki/Q1208658,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CommRing,,
CommRing,6,3/6,Q161172,Ring (mathematics),formalized,Top,FALSE,"NonAssocRing, NonUnitalRing, Ring, Semiring",https://en.wikipedia.org/wiki/Ring_mathematics,https://www.wikidata.org/wiki/Q161172,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CommRing,,
CommRing,6,4/6,Q7049224,Noncommutative ring,formalized,High,FALSE,"NonUnitalNonAssocRing, NonUnitalRing, Ring",https://en.wikipedia.org/wiki/Noncommutative_ring,https://www.wikidata.org/wiki/Q7049224,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CommRing,,
CommRing,6,5/6,Q727659,Commutative algebra,formalized,Top,TRUE,"Algebra, CommSemiring, Ideal, Module",https://en.wikipedia.org/wiki/Commutative_algebra,https://www.wikidata.org/wiki/Q727659,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CommRing,,
CommRing,6,6/6,Q858656,Commutative ring,formalized,Top,TRUE,"CommRingCat, CommSemiring",https://en.wikipedia.org/wiki/Commutative_ring,https://www.wikidata.org/wiki/Q858656,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=CommRing,,
Group,6,1/6,Q1057968,Finite group,formalized,High,FALSE,"Finite, FiniteGrp, Fintype",https://en.wikipedia.org/wiki/Finite_group,https://www.wikidata.org/wiki/Q1057968,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Group,,
Group,6,2/6,Q159943,Abstract algebra,not_formalized,Top,FALSE,"Algebra, Field, Module, Ring",https://en.wikipedia.org/wiki/Abstract_algebra,https://www.wikidata.org/wiki/Q159943,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Group,,
Group,6,3/6,Q205464,Algebraic structure,not_formalized,Top,FALSE,"Monoid, Semigroup",https://en.wikipedia.org/wiki/Algebraic_structure,https://www.wikidata.org/wiki/Q205464,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Group,,
Group,6,4/6,Q3968,Algebra,not_formalized,Top,FALSE,"Algebra, Field, Ring",https://en.wikipedia.org/wiki/Algebra,https://www.wikidata.org/wiki/Q3968,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Group,,
Group,6,5/6,Q83478,Group (mathematics),formalized,Top,TRUE,"AddGroup, CommGroup, MonoidHom, Subgroup",https://en.wikipedia.org/wiki/Group_mathematics,https://www.wikidata.org/wiki/Q83478,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Group,,
Group,6,6/6,Q874429,Group theory,formalized,Top,TRUE,"CommGroup, MonoidHom, Subgroup",https://en.wikipedia.org/wiki/Group_theory,https://www.wikidata.org/wiki/Q874429,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Group,,
HasDerivAt,6,1/6,Q149972,Calculus,formalized,Top,FALSE,"deriv, integral_deriv_eq_sub, intervalIntegral",https://en.wikipedia.org/wiki/Calculus,https://www.wikidata.org/wiki/Q149972,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasDerivAt,,
HasDerivAt,6,2/6,Q149999,Differential calculus,formalized,Top,FALSE,"Differentiable, HasFDerivAt, deriv, fderiv",https://en.wikipedia.org/wiki/Differential_calculus,https://www.wikidata.org/wiki/Q149999,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasDerivAt,,
HasDerivAt,6,3/6,Q2071054,Linear approximation,formalized,High,FALSE,"ApproximatesLinearOn, HasFDerivAt, HasFDerivAtFilter",https://en.wikipedia.org/wiki/Linear_approximation,https://www.wikidata.org/wiki/Q2071054,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasDerivAt,,
HasDerivAt,6,4/6,Q29175,Derivative,formalized,Top,FALSE,"DifferentiableAt, HasFDerivAt, deriv, fderiv",https://en.wikipedia.org/wiki/Derivative,https://www.wikidata.org/wiki/Q29175,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasDerivAt,,
HasDerivAt,6,5/6,Q48835224,Fluxion,formalized,Mid,FALSE,"HasDerivWithinAt, HasStrictDerivAt, deriv",https://en.wikipedia.org/wiki/Fluxion,https://www.wikidata.org/wiki/Q48835224,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasDerivAt,,
HasDerivAt,6,6/6,Q750432,Differential of a function,formalized,Mid,FALSE,"HasFDerivAt, HasFDerivAtFilter, deriv, fderiv",https://en.wikipedia.org/wiki/Differential_of_a_function,https://www.wikidata.org/wiki/Q750432,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=HasDerivAt,,
Matrix.orthogonalGroup,6,1/6,Q1256564,Rotation matrix,formalized,Mid,FALSE,"Matrix.mem_specialOrthogonalGroup_fin_two_iff, Matrix.planeConformalMatrix, Matrix.specialOrthogonalGroup, Orientation.rotation",https://en.wikipedia.org/wiki/Rotation_matrix,https://www.wikidata.org/wiki/Q1256564,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.orthogonalGroup,,
Matrix.orthogonalGroup,6,2/6,Q1783179,Orthogonal group,formalized,High,TRUE,"Matrix.mem_orthogonalGroup_iff, Matrix.mem_specialOrthogonalGroup_iff, Matrix.specialOrthogonalGroup",https://en.wikipedia.org/wiki/Orthogonal_group,https://www.wikidata.org/wiki/Q1783179,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.orthogonalGroup,,
Matrix.orthogonalGroup,6,3/6,Q2285809,Classical group,not_formalized,High,FALSE,"Matrix.GeneralLinearGroup, Matrix.SpecialLinearGroup, Matrix.unitaryGroup, symplecticGroup",https://en.wikipedia.org/wiki/Classical_group,https://www.wikidata.org/wiki/Q2285809,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.orthogonalGroup,,
Matrix.orthogonalGroup,6,4/6,Q333871,Orthogonal matrix,formalized,High,TRUE,"Matrix.HasOrthogonalRows, Matrix.mem_orthogonalGroup_iff, Matrix.specialOrthogonalGroup",https://en.wikipedia.org/wiki/Orthogonal_matrix,https://www.wikidata.org/wiki/Q333871,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.orthogonalGroup,,
Matrix.orthogonalGroup,6,5/6,Q848368,Rotation (mathematics),formalized,High,FALSE,"Matrix.specialOrthogonalGroup, Orientation.rotation, rotation",https://en.wikipedia.org/wiki/Rotation_mathematics,https://www.wikidata.org/wiki/Q848368,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.orthogonalGroup,,
Matrix.orthogonalGroup,6,6/6,Q852195,Euclidean group,formalized,High,FALSE,"EuclideanSpace, IsometryEquiv, IsometryEquiv.instGroup, Matrix.specialOrthogonalGroup",https://en.wikipedia.org/wiki/Euclidean_group,https://www.wikidata.org/wiki/Q852195,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.orthogonalGroup,,
Matrix.specialOrthogonalGroup,6,1/6,Q1256564,Rotation matrix,formalized,Mid,TRUE,"Matrix.mem_specialOrthogonalGroup_fin_two_iff, Matrix.orthogonalGroup, Matrix.planeConformalMatrix, Orientation.rotation",https://en.wikipedia.org/wiki/Rotation_matrix,https://www.wikidata.org/wiki/Q1256564,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.specialOrthogonalGroup,,
Matrix.specialOrthogonalGroup,6,2/6,Q1783179,Orthogonal group,formalized,High,FALSE,"Matrix.mem_orthogonalGroup_iff, Matrix.mem_specialOrthogonalGroup_iff, Matrix.orthogonalGroup",https://en.wikipedia.org/wiki/Orthogonal_group,https://www.wikidata.org/wiki/Q1783179,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.specialOrthogonalGroup,,
Matrix.specialOrthogonalGroup,6,3/6,Q2235286,Orientation (geometry),formalized,High,TRUE,"Module.Oriented, Orientation",https://en.wikipedia.org/wiki/Orientation_geometry,https://www.wikidata.org/wiki/Q2235286,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.specialOrthogonalGroup,,
Matrix.specialOrthogonalGroup,6,4/6,Q333871,Orthogonal matrix,formalized,High,FALSE,"Matrix.HasOrthogonalRows, Matrix.mem_orthogonalGroup_iff, Matrix.orthogonalGroup",https://en.wikipedia.org/wiki/Orthogonal_matrix,https://www.wikidata.org/wiki/Q333871,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.specialOrthogonalGroup,,
Matrix.specialOrthogonalGroup,6,5/6,Q848368,Rotation (mathematics),formalized,High,FALSE,"Matrix.orthogonalGroup, Orientation.rotation, rotation",https://en.wikipedia.org/wiki/Rotation_mathematics,https://www.wikidata.org/wiki/Q848368,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.specialOrthogonalGroup,,
Matrix.specialOrthogonalGroup,6,6/6,Q852195,Euclidean group,formalized,High,FALSE,"EuclideanSpace, IsometryEquiv, IsometryEquiv.instGroup, Matrix.orthogonalGroup",https://en.wikipedia.org/wiki/Euclidean_group,https://www.wikidata.org/wiki/Q852195,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Matrix.specialOrthogonalGroup,,
Polygon,6,1/6,Q127840,Pentagon,formalized,Mid,TRUE,Polygon.HasNondegenerateVertices,https://en.wikipedia.org/wiki/Pentagon,https://www.wikidata.org/wiki/Q127840,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Polygon,,
Polygon,6,2/6,Q19821,Triangle,formalized,Top,FALSE,"Affine.Simplex, Affine.Triangle, Polygon.toTriangle",https://en.wikipedia.org/wiki/Triangle,https://www.wikidata.org/wiki/Q19821,https://leanprover-community.github.io/mathlib4_docs/find/?pattern=Polygon,,
